	Loss	Train Corr	Val Corr
0	0.012748506851494312	0.6932802796363831	0.6852614879608154
1	0.011232130229473114	0.7134203910827637	0.6725786924362183
2	0.011033340357244015	0.6779744029045105	0.6905765533447266
3	0.011556912213563919	0.6912164092063904	0.6915215849876404
4	0.010776267386972904	0.6985399723052979	0.6922507286071777
mean	0.011469431407749652	0.6948862910270691	0.6864378094673157
