	Loss	Train Corr	Val Corr
0	0.0001826104853535071	0.8093799352645874	0.8166683316230774
1	0.00015676174371037632	0.8187597393989563	0.8077731132507324
2	0.00016710092313587666	0.8063502311706543	0.8252328634262085
3	0.000180272530997172	0.8276032209396362	0.8262943029403687
4	0.00015243998495861888	0.8228925466537476	0.8297672867774963
mean	0.0001678371336311102	0.8169971346855164	0.8211471796035766
