	Loss	Train Corr	Val Corr
0	0.00029615373932756484	0.6933587193489075	0.6884953379631042
1	0.00025039934553205967	0.712636411190033	0.6738621592521667
2	0.0002499442780390382	0.6835476160049438	0.6926229000091553
3	0.0002481976116541773	0.6929739713668823	0.690102756023407
4	0.0002327008405700326	0.7013037800788879	0.6953411102294922
mean	0.0002554791630245745	0.696764099597931	0.688084852695465
