	Loss	Train Corr	Val Corr
0	0.00015762230032123625	0.8287633657455444	0.8175510764122009
1	0.00016752429655753076	0.8181594610214233	0.8302425146102905
2	0.0001256684772670269	0.840335488319397	0.8208127617835999
3	0.0001665642048465088	0.8250366449356079	0.8309776782989502
4	0.0001644420117372647	0.816796600818634	0.8151034116744995
mean	0.00015636425814591348	0.8258183121681213	0.8229374885559082
