	Loss	Train Corr	Val Corr
0	0.0002962450380437076	0.6961243748664856	0.6896883845329285
1	0.00024619128089398146	0.717652440071106	0.6768679618835449
2	0.0002499410475138575	0.6823850274085999	0.6928665637969971
3	0.0002463668351992965	0.6931108832359314	0.6942672729492188
4	0.00023517580120824277	0.6996892094612122	0.6963985562324524
mean	0.00025478400057181715	0.697792387008667	0.6900177478790284
