Experiment	Loss	Random_State	Fold	Train Corr	Val Corr
full	Base	1	0	0.8270695805549622	0.8093240857124329
full	Base	1	1	0.8179510235786438	0.8104750514030457
full	Base	1	2	0.8122724890708923	0.831523060798645
full	Base	1	3	0.8358435034751892	0.825344443321228
full	Base	1	4	0.8274592757225037	0.8206880688667297
full	Base	42	0	0.822833240032196	0.811691164970398
full	Base	42	1	0.8284798860549927	0.8274486064910889
full	Base	42	2	0.8146746158599854	0.8189697861671448
full	Base	42	3	0.7944698333740234	0.83038330078125
full	Base	42	4	0.8276458382606506	0.8114120364189148
full	Base	919	0	0.8303730487823486	0.8167759776115417
full	Base	919	1	0.8120434880256653	0.8007038831710815
full	Base	919	2	0.8027685880661011	0.8252121806144714
full	Base	919	3	0.8231804966926575	0.8218237161636353
full	Base	919	4	0.8100589513778687	0.8273847103118896
full+numrepeat	Base	1	0	0.8180872797966003	0.8184496164321899
full+numrepeat	Base	1	1	0.8187239170074463	0.8129363656044006
full+numrepeat	Base	1	2	0.8262571692466736	0.8324292302131653
full+numrepeat	Base	1	3	0.8392172455787659	0.8231661915779114
full+numrepeat	Base	1	4	0.8200361728668213	0.8221166133880615
full+numrepeat	Base	42	0	0.8270585536956787	0.8125746846199036
full+numrepeat	Base	42	1	0.8374201655387878	0.8268765211105347
full+numrepeat	Base	42	2	0.8185799717903137	0.8214110732078552
full+numrepeat	Base	42	3	0.8598440289497375	0.8312191963195801
full+numrepeat	Base	42	4	0.8247026205062866	0.8123757243156433
full+numrepeat	Base	919	0	0.8318365812301636	0.8190391063690186
full+numrepeat	Base	919	1	0.8187940716743469	0.8074930310249329
full+numrepeat	Base	919	2	0.8240220546722412	0.8237303495407104
full+numrepeat	Base	919	3	0.8261118531227112	0.8245846629142761
full+numrepeat	Base	919	4	0.8069597482681274	0.8238292932510376
inDelphi_features	Base	1	0	0.6991415619850159	0.682769238948822
inDelphi_features	Base	1	1	0.7052764296531677	0.6804447174072266
inDelphi_features	Base	1	2	0.6668205857276917	0.70113605260849
inDelphi_features	Base	1	3	0.6868274807929993	0.705046534538269
inDelphi_features	Base	1	4	0.6936478018760681	0.6768176555633545
inDelphi_features	Base	42	0	0.697898268699646	0.6750040054321289
inDelphi_features	Base	42	1	0.6934696435928345	0.6969572305679321
inDelphi_features	Base	42	2	0.6686995625495911	0.6834609508514404
inDelphi_features	Base	42	3	0.6683056950569153	0.702043354511261
inDelphi_features	Base	42	4	0.6945999264717102	0.6865883469581604
inDelphi_features	Base	919	0	0.6933587193489075	0.6884953379631042
inDelphi_features	Base	919	1	0.712636411190033	0.6738621592521667
inDelphi_features	Base	919	2	0.6835476160049438	0.6926229000091553
inDelphi_features	Base	919	3	0.6929739713668823	0.690102756023407
inDelphi_features	Base	919	4	0.7013037800788879	0.6953411102294922
v2	Base	1	0	0.8395410776138306	0.8184797167778015
v2	Base	1	1	0.8154588937759399	0.8131260871887207
v2	Base	1	2	0.8122400045394897	0.8331241011619568
v2	Base	1	3	0.8042691349983215	0.8216032385826111
v2	Base	1	4	0.8104845285415649	0.8208217024803162
v2	Base	42	0	0.8287633657455444	0.8175510764122009
v2	Base	42	1	0.8181594610214233	0.8302425146102905
v2	Base	42	2	0.840335488319397	0.8208127617835999
v2	Base	42	3	0.8250366449356079	0.8309776782989502
v2	Base	42	4	0.816796600818634	0.8151034116744995
v2	Base	919	0	0.8307108879089355	0.8160009980201721
v2	Base	919	1	0.8269709348678589	0.8103448748588562
v2	Base	919	2	0.8186602592468262	0.8237159848213196
v2	Base	919	3	0.8331897854804993	0.826637864112854
v2	Base	919	4	0.8170428276062012	0.8298707604408264
v2+ranked	Base	1	0	0.8321988582611084	0.8173387050628662
v2+ranked	Base	1	1	0.8217580318450928	0.8132753968238831
v2+ranked	Base	1	2	0.8115957379341125	0.833787739276886
v2+ranked	Base	1	3	0.8332371115684509	0.824079692363739
v2+ranked	Base	1	4	0.8259916305541992	0.8181501626968384
v2+ranked	Base	42	0	0.82145756483078	0.8120981454849243
v2+ranked	Base	42	1	0.8302630186080933	0.8279450535774231
v2+ranked	Base	42	2	0.8152049779891968	0.8181908130645752
v2+ranked	Base	42	3	0.7980100512504578	0.8331711292266846
v2+ranked	Base	42	4	0.8347588181495667	0.8143885135650635
v2+ranked	Base	919	0	0.8342487812042236	0.8168790340423584
v2+ranked	Base	919	1	0.823910117149353	0.8079206943511963
v2+ranked	Base	919	2	0.8079043030738831	0.8252216577529907
v2+ranked	Base	919	3	0.8245295286178589	0.8279257416725159
v2+ranked	Base	919	4	0.8158128261566162	0.8293797969818115
full	Base	1	0	0.8285139799118042	0.8111363649368286
full	Base	1	1	0.8187583088874817	0.8092782497406006
full	Base	1	2	0.8098187446594238	0.8276705145835876
full	Base	1	3	0.8175414800643921	0.8055691719055176
full	Base	1	4	0.8328158259391785	0.8230084776878357
full	Base	42	0	0.8167178630828857	0.806952178478241
full	Base	42	1	0.8281389474868774	0.8257054686546326
full	Base	42	2	0.8169299960136414	0.8187808990478516
full	Base	42	3	0.8018864393234253	0.8323114514350891
full	Base	42	4	0.8350520133972168	0.8132036328315735
full	Base	919	0	0.8113137483596802	0.7975232601165771
full	Base	919	1	0.8070093989372253	0.7958720922470093
full	Base	919	2	0.8052762746810913	0.8207066655158997
full	Base	919	3	0.8141100406646729	0.8098288774490356
full	Base	919	4	0.8065088987350464	0.8227291107177734
full+numrepeat	Base	1	0	0.8123935461044312	0.8145042061805725
full+numrepeat	Base	1	1	0.8141571283340454	0.8085223436355591
