	Loss	Train Corr	Val Corr
0	0.00017605730681680143	0.8167178630828857	0.806952178478241
1	0.0001770769158611074	0.8281389474868774	0.8257054686546326
2	0.00015118847659323364	0.8169299960136414	0.8187808990478516
3	0.00015293284377548844	0.8018864393234253	0.8323114514350891
4	0.00016033826977945864	0.8350520133972168	0.8132036328315735
mean	0.00016351876256521792	0.8197450518608094	0.8193907260894775
