study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	fastq_aspera
PRJEB29746	SAMEA104549449	ERS2160733	ERX2909016	ERR2905856	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905856/ERR2905856_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905856/ERR2905856_2.fastq.gz
PRJEB29746	SAMEA104549450	ERS2160734	ERX2909017	ERR2905857	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905857/ERR2905857_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905857/ERR2905857_2.fastq.gz
PRJEB29746	SAMEA104549452	ERS2160736	ERX2909019	ERR2905859	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905859/ERR2905859_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905859/ERR2905859_2.fastq.gz
PRJEB29746	SAMEA104549453	ERS2160737	ERX2909020	ERR2905860	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905860/ERR2905860_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905860/ERR2905860_2.fastq.gz
PRJEB29746	SAMEA104549454	ERS2160738	ERX2909021	ERR2905861	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905861/ERR2905861_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905861/ERR2905861_2.fastq.gz
PRJEB29746	SAMEA104549455	ERS2160739	ERX2909022	ERR2905862	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905862/ERR2905862_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905862/ERR2905862_2.fastq.gz
PRJEB29746	SAMEA104549456	ERS2160740	ERX2909023	ERR2905863	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905863/ERR2905863_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905863/ERR2905863_2.fastq.gz
PRJEB29746	SAMEA104549457	ERS2160741	ERX2909024	ERR2905864	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905864/ERR2905864_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905864/ERR2905864_2.fastq.gz
PRJEB29746	SAMEA104549458	ERS2160742	ERX2909025	ERR2905865	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905865/ERR2905865_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905865/ERR2905865_2.fastq.gz
PRJEB29746	SAMEA104549459	ERS2160743	ERX2909026	ERR2905866	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905866/ERR2905866_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905866/ERR2905866_2.fastq.gz
PRJEB29746	SAMEA104549460	ERS2160744	ERX2909027	ERR2905867	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905867/ERR2905867_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905867/ERR2905867_2.fastq.gz
PRJEB29746	SAMEA104549461	ERS2160745	ERX2909028	ERR2905868	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905868/ERR2905868_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905868/ERR2905868_2.fastq.gz
PRJEB29746	SAMEA104549462	ERS2160746	ERX2909029	ERR2905869	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905869/ERR2905869_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905869/ERR2905869_2.fastq.gz
PRJEB29746	SAMEA104549463	ERS2160747	ERX2909030	ERR2905870	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905870/ERR2905870_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905870/ERR2905870_2.fastq.gz
PRJEB29746	SAMEA104549464	ERS2160748	ERX2909031	ERR2905871	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905871/ERR2905871_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905871/ERR2905871_2.fastq.gz
PRJEB29746	SAMEA104549465	ERS2160749	ERX2909032	ERR2905872	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905872/ERR2905872_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905872/ERR2905872_2.fastq.gz
PRJEB29746	SAMEA104549466	ERS2160750	ERX2909033	ERR2905873	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905873/ERR2905873_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905873/ERR2905873_2.fastq.gz
PRJEB29746	SAMEA104549467	ERS2160751	ERX2909034	ERR2905874	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905874/ERR2905874_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905874/ERR2905874_2.fastq.gz
PRJEB29746	SAMEA104549469	ERS2160753	ERX2909036	ERR2905876	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905876/ERR2905876_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905876/ERR2905876_2.fastq.gz
PRJEB29746	SAMEA104549470	ERS2160754	ERX2909037	ERR2905877	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905877/ERR2905877_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905877/ERR2905877_2.fastq.gz
