study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	fastq_aspera
PRJEB29746	SAMEA104549480	ERS2160764	ERX2909094	ERR2905934	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905934/ERR2905934_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905934/ERR2905934_2.fastq.gz
PRJEB29746	SAMEA104549484	ERS2160768	ERX2909098	ERR2905938	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905938/ERR2905938_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905938/ERR2905938_2.fastq.gz
PRJEB29746	SAMEA104549490	ERS2160774	ERX2909104	ERR2905944	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905944/ERR2905944_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905944/ERR2905944_2.fastq.gz
PRJEB29746	SAMEA104549444	ERS2160728	ERX2909105	ERR2905945	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905945/ERR2905945_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905945/ERR2905945_2.fastq.gz
PRJEB29746	SAMEA104549445	ERS2160729	ERX2909106	ERR2905946	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905946/ERR2905946_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905946/ERR2905946_2.fastq.gz
PRJEB29746	SAMEA104549446	ERS2160730	ERX2909107	ERR2905947	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905947/ERR2905947_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905947/ERR2905947_2.fastq.gz
PRJEB29746	SAMEA104549447	ERS2160731	ERX2909108	ERR2905948	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905948/ERR2905948_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905948/ERR2905948_2.fastq.gz
PRJEB29746	SAMEA104549448	ERS2160732	ERX2909109	ERR2905949	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905949/ERR2905949_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905949/ERR2905949_2.fastq.gz
PRJEB29746	SAMEA104549449	ERS2160733	ERX2909110	ERR2905950	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905950/ERR2905950_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905950/ERR2905950_2.fastq.gz
PRJEB29746	SAMEA104549450	ERS2160734	ERX2909111	ERR2905951	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905951/ERR2905951_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905951/ERR2905951_2.fastq.gz
PRJEB29746	SAMEA104549452	ERS2160736	ERX2909113	ERR2905953	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905953/ERR2905953_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905953/ERR2905953_2.fastq.gz
PRJEB29746	SAMEA104549453	ERS2160737	ERX2909114	ERR2905954	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905954/ERR2905954_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905954/ERR2905954_2.fastq.gz
PRJEB29746	SAMEA104549454	ERS2160738	ERX2909115	ERR2905955	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905955/ERR2905955_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905955/ERR2905955_2.fastq.gz
PRJEB29746	SAMEA104549455	ERS2160739	ERX2909116	ERR2905956	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905956/ERR2905956_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905956/ERR2905956_2.fastq.gz
PRJEB29746	SAMEA104549456	ERS2160740	ERX2909117	ERR2905957	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905957/ERR2905957_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905957/ERR2905957_2.fastq.gz
PRJEB29746	SAMEA104549457	ERS2160741	ERX2909118	ERR2905958	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905958/ERR2905958_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905958/ERR2905958_2.fastq.gz
PRJEB29746	SAMEA104549458	ERS2160742	ERX2909119	ERR2905959	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905959/ERR2905959_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905959/ERR2905959_2.fastq.gz
PRJEB29746	SAMEA104549459	ERS2160743	ERX2909120	ERR2905960	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905960/ERR2905960_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905960/ERR2905960_2.fastq.gz
PRJEB29746	SAMEA104549460	ERS2160744	ERX2909121	ERR2905961	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905961/ERR2905961_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905961/ERR2905961_2.fastq.gz
PRJEB29746	SAMEA104549461	ERS2160745	ERX2909122	ERR2905962	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905962/ERR2905962_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905962/ERR2905962_2.fastq.gz
PRJEB29746	SAMEA104549462	ERS2160746	ERX2909123	ERR2905963	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905963/ERR2905963_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905963/ERR2905963_2.fastq.gz
PRJEB29746	SAMEA104549463	ERS2160747	ERX2909124	ERR2905964	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905964/ERR2905964_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905964/ERR2905964_2.fastq.gz
PRJEB29746	SAMEA104549464	ERS2160748	ERX2909125	ERR2905965	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905965/ERR2905965_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905965/ERR2905965_2.fastq.gz
PRJEB29746	SAMEA104549465	ERS2160749	ERX2909126	ERR2905966	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905966/ERR2905966_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905966/ERR2905966_2.fastq.gz
PRJEB29746	SAMEA104549466	ERS2160750	ERX2909127	ERR2905967	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905967/ERR2905967_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905967/ERR2905967_2.fastq.gz
PRJEB29746	SAMEA104549467	ERS2160751	ERX2909128	ERR2905968	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905968/ERR2905968_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905968/ERR2905968_2.fastq.gz
PRJEB29746	SAMEA104549469	ERS2160753	ERX2909130	ERR2905970	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905970/ERR2905970_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905970/ERR2905970_2.fastq.gz
PRJEB29746	SAMEA104549470	ERS2160754	ERX2909131	ERR2905971	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905971/ERR2905971_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905971/ERR2905971_2.fastq.gz
PRJEB29746	SAMEA104549471	ERS2160755	ERX2909132	ERR2905972	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905972/ERR2905972_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905972/ERR2905972_2.fastq.gz
PRJEB29746	SAMEA104549472	ERS2160756	ERX2909133	ERR2905973	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905973/ERR2905973_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905973/ERR2905973_2.fastq.gz
PRJEB29746	SAMEA104549473	ERS2160757	ERX2909134	ERR2905974	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905974/ERR2905974_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905974/ERR2905974_2.fastq.gz
PRJEB29746	SAMEA104549474	ERS2160758	ERX2909135	ERR2905975	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905975/ERR2905975_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905975/ERR2905975_2.fastq.gz
PRJEB29746	SAMEA104549475	ERS2160759	ERX2909136	ERR2905976	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905976/ERR2905976_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905976/ERR2905976_2.fastq.gz
PRJEB29746	SAMEA104549476	ERS2160760	ERX2909137	ERR2905977	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905977/ERR2905977_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905977/ERR2905977_2.fastq.gz
PRJEB29746	SAMEA104549477	ERS2160761	ERX2909138	ERR2905978	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905978/ERR2905978_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905978/ERR2905978_2.fastq.gz
PRJEB29746	SAMEA104549478	ERS2160762	ERX2909139	ERR2905979	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905979/ERR2905979_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2905979/ERR2905979_2.fastq.gz
PRJEB29746	SAMEA104549479	ERS2160763	ERX2909140	ERR2905980	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905980/ERR2905980_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2905980/ERR2905980_2.fastq.gz
PRJEB29746	SAMEA104549480	ERS2160764	ERX2909141	ERR2905981	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905981/ERR2905981_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905981/ERR2905981_2.fastq.gz
PRJEB29746	SAMEA104549484	ERS2160768	ERX2909145	ERR2905985	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905985/ERR2905985_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905985/ERR2905985_2.fastq.gz
PRJEB29746	SAMEA104549490	ERS2160774	ERX2909151	ERR2905991	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905991/ERR2905991_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2905991/ERR2905991_2.fastq.gz
PRJEB29746	SAMEA104549444	ERS2160728	ERX2909152	ERR2905992	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905992/ERR2905992_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2905992/ERR2905992_2.fastq.gz
PRJEB29746	SAMEA104549445	ERS2160729	ERX2909153	ERR2905993	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905993/ERR2905993_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2905993/ERR2905993_2.fastq.gz
PRJEB29746	SAMEA104549446	ERS2160730	ERX2909154	ERR2905994	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905994/ERR2905994_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2905994/ERR2905994_2.fastq.gz
PRJEB29746	SAMEA104549447	ERS2160731	ERX2909155	ERR2905995	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905995/ERR2905995_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2905995/ERR2905995_2.fastq.gz
PRJEB29746	SAMEA104549448	ERS2160732	ERX2909156	ERR2905996	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905996/ERR2905996_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2905996/ERR2905996_2.fastq.gz
PRJEB29746	SAMEA104549449	ERS2160733	ERX2909157	ERR2905997	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905997/ERR2905997_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2905997/ERR2905997_2.fastq.gz
PRJEB29746	SAMEA104549450	ERS2160734	ERX2909158	ERR2905998	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905998/ERR2905998_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2905998/ERR2905998_2.fastq.gz
PRJEB29746	SAMEA104549452	ERS2160736	ERX2909160	ERR2906000	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2906000/ERR2906000_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2906000/ERR2906000_2.fastq.gz
PRJEB29746	SAMEA104549453	ERS2160737	ERX2909161	ERR2906001	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2906001/ERR2906001_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2906001/ERR2906001_2.fastq.gz
PRJEB29746	SAMEA104549454	ERS2160738	ERX2909162	ERR2906002	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2906002/ERR2906002_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2906002/ERR2906002_2.fastq.gz
PRJEB29746	SAMEA104549455	ERS2160739	ERX2909163	ERR2906003	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2906003/ERR2906003_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2906003/ERR2906003_2.fastq.gz
PRJEB29746	SAMEA104549456	ERS2160740	ERX2909164	ERR2906004	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2906004/ERR2906004_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2906004/ERR2906004_2.fastq.gz
PRJEB29746	SAMEA104549457	ERS2160741	ERX2909165	ERR2906005	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2906005/ERR2906005_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2906005/ERR2906005_2.fastq.gz
PRJEB29746	SAMEA104549458	ERS2160742	ERX2909166	ERR2906006	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2906006/ERR2906006_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2906006/ERR2906006_2.fastq.gz
PRJEB29746	SAMEA104549459	ERS2160743	ERX2909167	ERR2906007	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2906007/ERR2906007_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2906007/ERR2906007_2.fastq.gz
PRJEB29746	SAMEA104549460	ERS2160744	ERX2909168	ERR2906008	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2906008/ERR2906008_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2906008/ERR2906008_2.fastq.gz
PRJEB29746	SAMEA104549461	ERS2160745	ERX2909169	ERR2906009	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2906009/ERR2906009_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2906009/ERR2906009_2.fastq.gz
PRJEB29746	SAMEA104549462	ERS2160746	ERX2909170	ERR2906010	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2906010/ERR2906010_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2906010/ERR2906010_2.fastq.gz
PRJEB29746	SAMEA104549463	ERS2160747	ERX2909171	ERR2906011	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2906011/ERR2906011_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2906011/ERR2906011_2.fastq.gz
PRJEB29746	SAMEA104549464	ERS2160748	ERX2909172	ERR2906012	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2906012/ERR2906012_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2906012/ERR2906012_2.fastq.gz
PRJEB29746	SAMEA104549465	ERS2160749	ERX2909173	ERR2906013	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2906013/ERR2906013_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2906013/ERR2906013_2.fastq.gz
PRJEB29746	SAMEA104549466	ERS2160750	ERX2909174	ERR2906014	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2906014/ERR2906014_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2906014/ERR2906014_2.fastq.gz
PRJEB29746	SAMEA104549467	ERS2160751	ERX2909175	ERR2906015	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2906015/ERR2906015_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2906015/ERR2906015_2.fastq.gz
PRJEB29746	SAMEA104549469	ERS2160753	ERX2909177	ERR2906017	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2906017/ERR2906017_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2906017/ERR2906017_2.fastq.gz
PRJEB29746	SAMEA104549470	ERS2160754	ERX2909178	ERR2906018	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2906018/ERR2906018_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2906018/ERR2906018_2.fastq.gz
PRJEB29746	SAMEA104549471	ERS2160755	ERX2909179	ERR2906019	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2906019/ERR2906019_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2906019/ERR2906019_2.fastq.gz
PRJEB29746	SAMEA104549472	ERS2160756	ERX2909180	ERR2906020	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2906020/ERR2906020_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2906020/ERR2906020_2.fastq.gz
PRJEB29746	SAMEA104549473	ERS2160757	ERX2909181	ERR2906021	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2906021/ERR2906021_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2906021/ERR2906021_2.fastq.gz
PRJEB29746	SAMEA104549474	ERS2160758	ERX2909182	ERR2906022	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2906022/ERR2906022_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2906022/ERR2906022_2.fastq.gz
PRJEB29746	SAMEA104549475	ERS2160759	ERX2909183	ERR2906023	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2906023/ERR2906023_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2906023/ERR2906023_2.fastq.gz
PRJEB29746	SAMEA104549476	ERS2160760	ERX2909184	ERR2906024	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2906024/ERR2906024_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2906024/ERR2906024_2.fastq.gz
PRJEB29746	SAMEA104549477	ERS2160761	ERX2909185	ERR2906025	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2906025/ERR2906025_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2906025/ERR2906025_2.fastq.gz
PRJEB29746	SAMEA104549478	ERS2160762	ERX2909186	ERR2906026	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2906026/ERR2906026_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2906026/ERR2906026_2.fastq.gz
PRJEB29746	SAMEA104549479	ERS2160763	ERX2909187	ERR2906027	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2906027/ERR2906027_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2906027/ERR2906027_2.fastq.gz
PRJEB29746	SAMEA104549480	ERS2160764	ERX2909188	ERR2906028	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2906028/ERR2906028_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2906028/ERR2906028_2.fastq.gz
PRJEB29746	SAMEA104549484	ERS2160768	ERX2909192	ERR2906032	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2906032/ERR2906032_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2906032/ERR2906032_2.fastq.gz
PRJEB29746	SAMEA104549490	ERS2160774	ERX2909198	ERR2906038	Homo sapiens	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2906038/ERR2906038_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2906038/ERR2906038_2.fastq.gz
PRJEB29746	SAMEA5094013	ERS2905352	ERX2909504	ERR2906344	synthetic construct	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2906344/ERR2906344_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2906344/ERR2906344_2.fastq.gz
PRJEB29746	SAMEA5094014	ERS2905353	ERX2909505	ERR2906345	synthetic construct	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2906345/ERR2906345_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/005/ERR2906345/ERR2906345_2.fastq.gz
PRJEB29746	SAMEA5094017	ERS2905356	ERX2909506	ERR2906346	synthetic construct	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2906346/ERR2906346_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/006/ERR2906346/ERR2906346_2.fastq.gz
PRJEB29746	SAMEA5094018	ERS2905357	ERX2909507	ERR2906347	synthetic construct	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2906347/ERR2906347_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/007/ERR2906347/ERR2906347_2.fastq.gz
PRJEB29746	SAMEA5094011	ERS2905350	ERX2909508	ERR2906348	synthetic construct	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2906348/ERR2906348_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/008/ERR2906348/ERR2906348_2.fastq.gz
PRJEB29746	SAMEA5094012	ERS2905351	ERX2909509	ERR2906349	synthetic construct	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2906349/ERR2906349_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/009/ERR2906349/ERR2906349_2.fastq.gz
PRJEB29746	SAMEA5094022	ERS2905361	ERX2909510	ERR2906350	synthetic construct	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2906350/ERR2906350_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/000/ERR2906350/ERR2906350_2.fastq.gz
PRJEB29746	SAMEA5094023	ERS2905362	ERX2909511	ERR2906351	synthetic construct	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2906351/ERR2906351_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/001/ERR2906351/ERR2906351_2.fastq.gz
PRJEB29746	SAMEA5094013	ERS2905352	ERX2909512	ERR2906352	synthetic construct	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2906352/ERR2906352_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/002/ERR2906352/ERR2906352_2.fastq.gz
PRJEB29746	SAMEA5094014	ERS2905353	ERX2909513	ERR2906353	synthetic construct	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2906353/ERR2906353_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/003/ERR2906353/ERR2906353_2.fastq.gz
PRJEB29746	SAMEA5094017	ERS2905356	ERX2909514	ERR2906354	synthetic construct	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2906354/ERR2906354_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR290/004/ERR2906354/ERR2906354_2.fastq.gz
